"","celltype"
"cell_45186","Blood progenitors 2"
"cell_45187","ExE ectoderm"
"cell_45188","Epiblast"
"cell_45189","Epiblast"
"cell_45190","ExE ectoderm"
"cell_45191","Mesenchyme"
"cell_45192","Primitive Streak"
"cell_45193","Epiblast"
"cell_45194","ExE ectoderm"
"cell_45195","Mixed mesoderm"
"cell_45196","ExE endoderm"
"cell_45197","Primitive Streak"
"cell_45198","Visceral endoderm"
"cell_45199","Primitive Streak"
"cell_45200","Blood progenitors 2"
"cell_45201","Def. endoderm"
"cell_45202",NA
"cell_45203","ExE endoderm"
"cell_45204","Primitive Streak"
"cell_45205",NA
"cell_45206","Caudal epiblast"
"cell_45207",NA
"cell_45208","Gut"
"cell_45209",NA
"cell_45210","Blood progenitors 1"
"cell_45211","Mesenchyme"
"cell_45212",NA
"cell_45213","Intermediate mesoderm"
"cell_45214","Epiblast"
"cell_45215",NA
"cell_45216","Parietal endoderm"
"cell_45217","Rostral neurectoderm"
"cell_45218",NA
"cell_45219","ExE endoderm"
"cell_45220","Rostral neurectoderm"
"cell_45221","ExE endoderm"
"cell_45222","ExE ectoderm"
"cell_45223","Anterior Primitive Streak"
"cell_45224","Nascent mesoderm"
"cell_45225","Primitive Streak"
"cell_45226","Epiblast"
"cell_45227","Mixed mesoderm"
"cell_45228","Notochord"
"cell_45229",NA
"cell_45230","ExE endoderm"
"cell_45231","ExE endoderm"
"cell_45232","Surface ectoderm"
"cell_45233","ExE ectoderm"
"cell_45234","ExE ectoderm"
"cell_45235","Parietal endoderm"
"cell_45236","Primitive Streak"
"cell_45237","Epiblast"
"cell_45238","Def. endoderm"
"cell_45239","ExE endoderm"
"cell_45240",NA
"cell_45241",NA
"cell_45242","ExE ectoderm"
"cell_45243",NA
"cell_45244","Epiblast"
"cell_45245","Primitive Streak"
"cell_45246","ExE ectoderm"
"cell_45247","Haematoendothelial progenitors"
"cell_45248",NA
"cell_45249",NA
"cell_45250",NA
"cell_45251","Blood progenitors 1"
"cell_45252","Blood progenitors 1"
"cell_45253",NA
"cell_45254",NA
"cell_45255","Epiblast"
"cell_45256","ExE endoderm"
"cell_45257","Epiblast"
"cell_45258","Nascent mesoderm"
"cell_45259","Primitive Streak"
"cell_45260","Caudal epiblast"
"cell_45261","Rostral neurectoderm"
"cell_45262","ExE ectoderm"
"cell_45263","ExE endoderm"
"cell_45264","Caudal epiblast"
"cell_45265","Rostral neurectoderm"
"cell_45266","Intermediate mesoderm"
"cell_45267","Pharyngeal mesoderm"
"cell_45268","Primitive Streak"
"cell_45269","Epiblast"
"cell_45270","Rostral neurectoderm"
"cell_45271","Intermediate mesoderm"
"cell_45272","Rostral neurectoderm"
"cell_45273","Visceral endoderm"
"cell_45274","Mesenchyme"
"cell_45275","Haematoendothelial progenitors"
"cell_45276",NA
"cell_45277","Epiblast"
"cell_45278","Primitive Streak"
"cell_45279","Primitive Streak"
"cell_45280",NA
"cell_45281","Primitive Streak"
"cell_45282","Rostral neurectoderm"
"cell_45283","Primitive Streak"
"cell_45284",NA
"cell_45285","ExE ectoderm"
"cell_45286","Mixed mesoderm"
"cell_45287","Mixed mesoderm"
"cell_45288","PGC"
"cell_45289","Rostral neurectoderm"
"cell_45290","Intermediate mesoderm"
"cell_45291","Caudal neurectoderm"
"cell_45292","ExE ectoderm"
"cell_45293","ExE endoderm"
"cell_45294",NA
"cell_45295","Epiblast"
"cell_45296","ExE ectoderm"
"cell_45297","ExE endoderm"
"cell_45298","Rostral neurectoderm"
"cell_45299","Primitive Streak"
"cell_45300","ExE ectoderm"
"cell_45301","Epiblast"
"cell_45302",NA
"cell_45303","Gut"
"cell_45304","ExE endoderm"
"cell_45305","ExE ectoderm"
"cell_45306","Epiblast"
"cell_45307","ExE endoderm"
"cell_45308","Rostral neurectoderm"
"cell_45309","Mixed mesoderm"
"cell_45310","ExE endoderm"
"cell_45311","ExE ectoderm"
"cell_45312","ExE endoderm"
"cell_45313","Haematoendothelial progenitors"
"cell_45314","Mesenchyme"
"cell_45315","ExE ectoderm"
"cell_45316","ExE endoderm"
"cell_45317","Rostral neurectoderm"
"cell_45318","Mixed mesoderm"
"cell_45319","Epiblast"
"cell_45320","Caudal epiblast"
"cell_45321",NA
"cell_45322","Mesenchyme"
"cell_45323","Intermediate mesoderm"
"cell_45324","Mesenchyme"
"cell_45325","Rostral neurectoderm"
"cell_45326",NA
"cell_45327","Rostral neurectoderm"
"cell_45328","ExE endoderm"
"cell_45329","ExE ectoderm"
"cell_45330","Surface ectoderm"
"cell_45331","Epiblast"
"cell_45332","ExE ectoderm"
"cell_45333","Blood progenitors 2"
"cell_45334","Nascent mesoderm"
"cell_45335","ExE endoderm"
"cell_45336","ExE ectoderm"
"cell_45337","Pharyngeal mesoderm"
"cell_45338","Notochord"
"cell_45339","ExE endoderm"
"cell_45340",NA
"cell_45341","ExE endoderm"
"cell_45342","Nascent mesoderm"
"cell_45343","Epiblast"
"cell_45344","ExE ectoderm"
"cell_45345","Epiblast"
"cell_45346","Intermediate mesoderm"
"cell_45347",NA
"cell_45348","ExE ectoderm"
"cell_45349","Caudal neurectoderm"
"cell_45350",NA
"cell_45351","ExE endoderm"
"cell_45352",NA
"cell_45353","ExE ectoderm"
"cell_45354","Mesenchyme"
"cell_45355","Anterior Primitive Streak"
"cell_45356",NA
"cell_45357","Visceral endoderm"
"cell_45358","Haematoendothelial progenitors"
"cell_45359",NA
"cell_45360","ExE endoderm"
"cell_45361","Gut"
"cell_45362","Nascent mesoderm"
"cell_45363","Rostral neurectoderm"
"cell_45364","Rostral neurectoderm"
"cell_45365","ExE ectoderm"
"cell_45366","Mixed mesoderm"
"cell_45367",NA
"cell_45368",NA
"cell_45369","ExE ectoderm"
"cell_45370","Pharyngeal mesoderm"
"cell_45371","Caudal epiblast"
"cell_45372","Rostral neurectoderm"
"cell_45373","Mesenchyme"
"cell_45374","Epiblast"
"cell_45375","Caudal epiblast"
"cell_45376","Rostral neurectoderm"
"cell_45377","Haematoendothelial progenitors"
"cell_45378","ExE ectoderm"
"cell_45379",NA
"cell_45380","Caudal epiblast"
"cell_45381",NA
"cell_45382","Blood progenitors 1"
"cell_45383",NA
"cell_45384","Rostral neurectoderm"
"cell_45385","ExE endoderm"
"cell_45386","Mixed mesoderm"
"cell_45387","Def. endoderm"
"cell_45388","Caudal neurectoderm"
"cell_45389",NA
"cell_45390","ExE endoderm"
"cell_45391","Nascent mesoderm"
"cell_45392","Gut"
"cell_45393",NA
"cell_45394","ExE ectoderm"
"cell_45395",NA
"cell_45396",NA
"cell_45397","Mesenchyme"
"cell_45398","Surface ectoderm"
"cell_45399","Mesenchyme"
"cell_45400",NA
"cell_45401","ExE endoderm"
"cell_45402","Nascent mesoderm"
"cell_45403","Epiblast"
"cell_45404","ExE ectoderm"
"cell_45405","Caudal Mesoderm"
"cell_45406","Haematoendothelial progenitors"
"cell_45407","ExE ectoderm"
"cell_45408","Rostral neurectoderm"
"cell_45409","ExE ectoderm"
"cell_45410","ExE endoderm"
"cell_45411","ExE ectoderm"
"cell_45412","Mixed mesoderm"
"cell_45413",NA
"cell_45414","ExE endoderm"
"cell_45415","Caudal epiblast"
"cell_45416","Surface ectoderm"
"cell_45417",NA
"cell_45418","Blood progenitors 2"
"cell_45419","Epiblast"
"cell_45420","Intermediate mesoderm"
"cell_45421","Def. endoderm"
"cell_45422","ExE ectoderm"
"cell_45423","Haematoendothelial progenitors"
"cell_45424","Blood progenitors 1"
"cell_45425","ExE ectoderm"
"cell_45426","Nascent mesoderm"
"cell_45427","Nascent mesoderm"
"cell_45428",NA
"cell_45429","Primitive Streak"
"cell_45430","Surface ectoderm"
"cell_45431",NA
"cell_45432","Nascent mesoderm"
"cell_45433","ExE ectoderm"
"cell_45434","Rostral neurectoderm"
"cell_45435","Blood progenitors 2"
"cell_45436","ExE ectoderm"
"cell_45437","Mixed mesoderm"
"cell_45438","Epiblast"
"cell_45439","Epiblast"
"cell_45440","Caudal epiblast"
"cell_45441","Nascent mesoderm"
"cell_45442","Rostral neurectoderm"
"cell_45443","ExE endoderm"
"cell_45444","Epiblast"
"cell_45445","ExE endoderm"
"cell_45446","Epiblast"
"cell_45447",NA
"cell_45448","Def. endoderm"
"cell_45449","Primitive Streak"
"cell_45450","Epiblast"
"cell_45451","Intermediate mesoderm"
"cell_45452","Epiblast"
"cell_45453",NA
"cell_45454","ExE endoderm"
"cell_45455","ExE ectoderm"
"cell_45456","Mesenchyme"
"cell_45457","Rostral neurectoderm"
"cell_45458","ExE ectoderm"
"cell_45459","ExE endoderm"
"cell_45460",NA
"cell_45461","Epiblast"
"cell_45462","ExE ectoderm"
"cell_45463","Epiblast"
"cell_45464","Mesenchyme"
"cell_45465",NA
"cell_45466","ExE ectoderm"
"cell_45467","ExE ectoderm"
"cell_45468","Nascent mesoderm"
"cell_45469","Mesenchyme"
"cell_45470","Nascent mesoderm"
"cell_45471",NA
"cell_45472",NA
"cell_45473",NA
"cell_45474","Mixed mesoderm"
"cell_45475","ExE ectoderm"
"cell_45476","ExE ectoderm"
"cell_45477","ExE ectoderm"
"cell_45478","ExE endoderm"
"cell_45479",NA
"cell_45480","Caudal neurectoderm"
"cell_45481",NA
"cell_45482","Mixed mesoderm"
"cell_45483","Haematoendothelial progenitors"
"cell_45484","ExE endoderm"
"cell_45485","Mixed mesoderm"
"cell_45486","Rostral neurectoderm"
"cell_45487","Rostral neurectoderm"
"cell_45488","Mixed mesoderm"
"cell_45489","ExE endoderm"
"cell_45490","ExE endoderm"
"cell_45491","ExE ectoderm"
"cell_45492","Epiblast"
"cell_45493",NA
"cell_45494","ExE mesoderm"
"cell_45495","Caudal epiblast"
"cell_45496","Haematoendothelial progenitors"
"cell_45497","Nascent mesoderm"
"cell_45498","ExE ectoderm"
"cell_45499","ExE endoderm"
"cell_45500","ExE endoderm"
"cell_45501","Rostral neurectoderm"
"cell_45502","ExE endoderm"
"cell_45503","Rostral neurectoderm"
"cell_45504","Surface ectoderm"
"cell_45505","Intermediate mesoderm"
"cell_45506","ExE ectoderm"
"cell_45507","Mixed mesoderm"
"cell_45508",NA
"cell_45509","Mesenchyme"
"cell_45510","ExE ectoderm"
"cell_45511",NA
"cell_45512","Blood progenitors 2"
"cell_45513","Mixed mesoderm"
"cell_45514","Caudal epiblast"
"cell_45515","Mesenchyme"
"cell_45516","ExE ectoderm"
"cell_45517","ExE endoderm"
"cell_45518","PGC"
"cell_45519","Nascent mesoderm"
"cell_45520","Primitive Streak"
"cell_45521",NA
"cell_45522","Visceral endoderm"
"cell_45523",NA
"cell_45524",NA
"cell_45525",NA
"cell_45526","Rostral neurectoderm"
"cell_45527","Intermediate mesoderm"
"cell_45528","Mesenchyme"
"cell_45529","ExE ectoderm"
"cell_45530","Mesenchyme"
"cell_45531","Primitive Streak"
"cell_45532","Nascent mesoderm"
"cell_45533","ExE ectoderm"
"cell_45534","ExE ectoderm"
"cell_45535","Epiblast"
"cell_45536","Epiblast"
"cell_45537","Rostral neurectoderm"
"cell_45538","Primitive Streak"
"cell_45539",NA
"cell_45540",NA
"cell_45541","ExE ectoderm"
"cell_45542","ExE endoderm"
"cell_45543","Intermediate mesoderm"
"cell_45544",NA
"cell_45545","Mesenchyme"
"cell_45546",NA
"cell_45547",NA
"cell_45548","Epiblast"
"cell_45549","Blood progenitors 1"
"cell_45550","Nascent mesoderm"
"cell_45551","Rostral neurectoderm"
"cell_45552","ExE endoderm"
"cell_45553","ExE endoderm"
"cell_45554","ExE endoderm"
"cell_45555","ExE ectoderm"
"cell_45556",NA
"cell_45557","Def. endoderm"
"cell_45558","Primitive Streak"
"cell_45559",NA
"cell_45560","ExE endoderm"
"cell_45561","Blood progenitors 2"
"cell_45562","Nascent mesoderm"
"cell_45563",NA
"cell_45564","Primitive Streak"
"cell_45565","Mixed mesoderm"
"cell_45566","ExE ectoderm"
"cell_45567","Paraxial mesoderm"
"cell_45568","ExE endoderm"
"cell_45569","ExE endoderm"
"cell_45570","Somitic mesoderm"
"cell_45571","ExE ectoderm"
"cell_45572",NA
"cell_45573","ExE endoderm"
"cell_45574","Nascent mesoderm"
"cell_45575","ExE endoderm"
"cell_45576","ExE ectoderm"
"cell_45577","Mixed mesoderm"
"cell_45578","Intermediate mesoderm"
"cell_45579","Primitive Streak"
"cell_45580","ExE endoderm"
"cell_45581","ExE endoderm"
"cell_45582","Mesenchyme"
"cell_45583",NA
"cell_45584",NA
"cell_45585","Blood progenitors 1"
"cell_45586","ExE ectoderm"
"cell_45587","ExE endoderm"
"cell_45588","Mesenchyme"
"cell_45589","ExE ectoderm"
"cell_45590",NA
"cell_45591","Rostral neurectoderm"
"cell_45592",NA
"cell_45593","Mesenchyme"
"cell_45594","Blood progenitors 2"
"cell_45595","Somitic mesoderm"
"cell_45596","ExE endoderm"
"cell_45597","Primitive Streak"
"cell_45598",NA
"cell_45599","Primitive Streak"
"cell_45600","ExE ectoderm"
"cell_45601","Nascent mesoderm"
"cell_45602","Primitive Streak"
"cell_45603","ExE ectoderm"
"cell_45604","Epiblast"
"cell_45605","Blood progenitors 1"
"cell_45606","ExE endoderm"
"cell_45607",NA
"cell_45608","Rostral neurectoderm"
"cell_45609","Def. endoderm"
"cell_45610","ExE endoderm"
"cell_45611","Nascent mesoderm"
"cell_45612","ExE endoderm"
"cell_45613","Epiblast"
"cell_45614","Blood progenitors 1"
"cell_45615","Anterior Primitive Streak"
"cell_45616","Haematoendothelial progenitors"
"cell_45617","Blood progenitors 1"
"cell_45618","ExE endoderm"
"cell_45619","Visceral endoderm"
"cell_45620","Caudal epiblast"
"cell_45621","Epiblast"
"cell_45622","Mesenchyme"
"cell_45623","Primitive Streak"
"cell_45624","Intermediate mesoderm"
"cell_45625","Pharyngeal mesoderm"
"cell_45626","Rostral neurectoderm"
"cell_45627","Intermediate mesoderm"
"cell_45628","Mixed mesoderm"
"cell_45629",NA
"cell_45630","ExE endoderm"
"cell_45631","ExE ectoderm"
"cell_45632","ExE ectoderm"
"cell_45633","Surface ectoderm"
"cell_45634","Rostral neurectoderm"
"cell_45635","Mixed mesoderm"
"cell_45636","ExE endoderm"
"cell_45637",NA
"cell_45638","Haematoendothelial progenitors"
"cell_45639","Surface ectoderm"
"cell_45640","ExE ectoderm"
"cell_45641","Epiblast"
"cell_45642",NA
"cell_45643","ExE endoderm"
"cell_45644","ExE endoderm"
"cell_45645","ExE ectoderm"
"cell_45646","ExE mesoderm"
"cell_45647","ExE ectoderm"
"cell_45648","ExE endoderm"
"cell_45649","Blood progenitors 2"
"cell_45650","Mixed mesoderm"
"cell_45651","ExE ectoderm"
"cell_45652",NA
"cell_45653",NA
"cell_45654","ExE endoderm"
"cell_45655","Epiblast"
"cell_45656",NA
"cell_45657","ExE ectoderm"
"cell_45658","Rostral neurectoderm"
"cell_45659","Rostral neurectoderm"
"cell_45660","Anterior Primitive Streak"
"cell_45661",NA
"cell_45662","ExE ectoderm"
"cell_45663","Anterior Primitive Streak"
"cell_45664","Epiblast"
"cell_45665","Nascent mesoderm"
"cell_45666","Surface ectoderm"
"cell_45667","Def. endoderm"
"cell_45668","PGC"
"cell_45669","ExE ectoderm"
"cell_45670","Epiblast"
"cell_45671","Visceral endoderm"
"cell_45672",NA
"cell_45673","Primitive Streak"
"cell_45674",NA
"cell_45675","ExE ectoderm"
"cell_45676","Allantois"
"cell_45677","ExE ectoderm"
"cell_45678","Rostral neurectoderm"
"cell_45679","Rostral neurectoderm"
"cell_45680","Epiblast"
"cell_45681","Blood progenitors 1"
"cell_45682","ExE endoderm"
"cell_45683","Mixed mesoderm"
"cell_45684",NA
"cell_45685",NA
"cell_45686","Mesenchyme"
"cell_45687",NA
"cell_45688","ExE endoderm"
"cell_45689","Mixed mesoderm"
"cell_45690","ExE endoderm"
"cell_45691",NA
"cell_45692","Mixed mesoderm"
"cell_45693","Nascent mesoderm"
"cell_45694","Haematoendothelial progenitors"
"cell_45695","Primitive Streak"
"cell_45696","ExE ectoderm"
"cell_45697","Mixed mesoderm"
"cell_45698","ExE ectoderm"
"cell_45699","Nascent mesoderm"
"cell_45700","ExE endoderm"
"cell_45701",NA
"cell_45702","Rostral neurectoderm"
"cell_45703","Rostral neurectoderm"
"cell_45704","Blood progenitors 2"
"cell_45705","ExE ectoderm"
"cell_45706","Caudal neurectoderm"
"cell_45707","ExE endoderm"
"cell_45708","Epiblast"
"cell_45709","ExE endoderm"
"cell_45710","ExE ectoderm"
"cell_45711",NA
"cell_45712","ExE ectoderm"
"cell_45713",NA
"cell_45714","Rostral neurectoderm"
"cell_45715","ExE endoderm"
"cell_45716",NA
"cell_45717","Rostral neurectoderm"
"cell_45718",NA
"cell_45719","Notochord"
"cell_45720","ExE ectoderm"
"cell_45721",NA
"cell_45722","ExE endoderm"
"cell_45723","Surface ectoderm"
"cell_45724","Epiblast"
"cell_45725","Def. endoderm"
"cell_45726","ExE endoderm"
"cell_45727","ExE endoderm"
"cell_45728","Primitive Streak"
"cell_45729","Rostral neurectoderm"
"cell_45730","Epiblast"
"cell_45731","ExE ectoderm"
"cell_45732",NA
"cell_45733","Epiblast"
"cell_45734","Caudal epiblast"
"cell_45735","ExE ectoderm"
"cell_45736","ExE endoderm"
"cell_45737","Mixed mesoderm"
"cell_45738","ExE ectoderm"
"cell_45739","ExE endoderm"
"cell_45740","ExE endoderm"
"cell_45741","ExE ectoderm"
"cell_45742","Blood progenitors 1"
"cell_45743","Mesenchyme"
"cell_45744","ExE endoderm"
"cell_45745","Rostral neurectoderm"
"cell_45746","Epiblast"
"cell_45747",NA
"cell_45748","Mesenchyme"
"cell_45749","ExE ectoderm"
"cell_45750","Mixed mesoderm"
"cell_45751","Intermediate mesoderm"
"cell_45752","Primitive Streak"
"cell_45753","Somitic mesoderm"
"cell_45754","Caudal epiblast"
"cell_45755","Mixed mesoderm"
"cell_45756","Caudal neurectoderm"
"cell_45757","Epiblast"
"cell_45758","Mesenchyme"
"cell_45759","Rostral neurectoderm"
"cell_45760","Mixed mesoderm"
"cell_45761","Intermediate mesoderm"
"cell_45762","ExE endoderm"
"cell_45763","ExE ectoderm"
"cell_45764","ExE ectoderm"
"cell_45765","Mesenchyme"
"cell_45766","Primitive Streak"
"cell_45767","Blood progenitors 2"
"cell_45768","Blood progenitors 2"
"cell_45769","ExE ectoderm"
"cell_45770",NA
"cell_45771","ExE ectoderm"
"cell_45772","ExE ectoderm"
"cell_45773","ExE ectoderm"
"cell_45774","Notochord"
"cell_45775","ExE endoderm"
"cell_45776",NA
"cell_45777","Paraxial mesoderm"
"cell_45778",NA
"cell_45779","Mesenchyme"
"cell_45780","Nascent mesoderm"
"cell_45781","Mesenchyme"
"cell_45782",NA
"cell_45783","ExE ectoderm"
"cell_45784","ExE endoderm"
"cell_45785",NA
"cell_45786","Pharyngeal mesoderm"
"cell_45787","Blood progenitors 1"
"cell_45788","Rostral neurectoderm"
"cell_45789","Nascent mesoderm"
"cell_45790","Gut"
"cell_45791","Blood progenitors 2"
"cell_45792","ExE ectoderm"
"cell_45793","ExE endoderm"
"cell_45794","Blood progenitors 1"
"cell_45795","Def. endoderm"
"cell_45796",NA
"cell_45797","Epiblast"
"cell_45798","Primitive Streak"
"cell_45799","Rostral neurectoderm"
"cell_45800","Nascent mesoderm"
"cell_45801","Epiblast"
"cell_45802","ExE endoderm"
"cell_45803","Nascent mesoderm"
"cell_45804","ExE ectoderm"
"cell_45805","Haematoendothelial progenitors"
"cell_45806","Notochord"
"cell_45807","ExE ectoderm"
"cell_45808","ExE endoderm"
"cell_45809","ExE ectoderm"
"cell_45810","Pharyngeal mesoderm"
"cell_45811","ExE endoderm"
"cell_45812","Nascent mesoderm"
"cell_45813","Caudal epiblast"
"cell_45814","Nascent mesoderm"
"cell_45815","Intermediate mesoderm"
"cell_45816","ExE ectoderm"
"cell_45817","Haematoendothelial progenitors"
"cell_45818","Epiblast"
"cell_45819","Rostral neurectoderm"
"cell_45820","Blood progenitors 2"
"cell_45821","Nascent mesoderm"
"cell_45822","ExE ectoderm"
"cell_45823","Notochord"
"cell_45824","ExE endoderm"
"cell_45825","PGC"
"cell_45826","Rostral neurectoderm"
"cell_45827","ExE endoderm"
"cell_45828","Caudal epiblast"
"cell_45829","Mesenchyme"
"cell_45830",NA
"cell_45831","Mixed mesoderm"
"cell_45832","Nascent mesoderm"
"cell_45833",NA
"cell_45834","ExE endoderm"
"cell_45835","Paraxial mesoderm"
"cell_45836","Nascent mesoderm"
"cell_45837",NA
"cell_45838","ExE ectoderm"
"cell_45839","Mixed mesoderm"
"cell_45840",NA
"cell_45841","Mixed mesoderm"
"cell_45842","Rostral neurectoderm"
"cell_45843","ExE ectoderm"
"cell_45844","Nascent mesoderm"
"cell_45845","Intermediate mesoderm"
"cell_45846","Epiblast"
"cell_45847","ExE endoderm"
"cell_45848","Pharyngeal mesoderm"
"cell_45849","ExE endoderm"
"cell_45850","ExE endoderm"
"cell_45851",NA
"cell_45852",NA
"cell_45853",NA
"cell_45854","Intermediate mesoderm"
"cell_45855","Mesenchyme"
"cell_45856","Epiblast"
"cell_45857","ExE endoderm"
"cell_45858","ExE endoderm"
"cell_45859",NA
"cell_45860","ExE endoderm"
"cell_45861",NA
"cell_45862","Nascent mesoderm"
"cell_45863","ExE ectoderm"
"cell_45864","Haematoendothelial progenitors"
"cell_45865","Mixed mesoderm"
"cell_45866","ExE ectoderm"
"cell_45867","ExE ectoderm"
"cell_45868","Haematoendothelial progenitors"
"cell_45869","ExE endoderm"
"cell_45870","Mixed mesoderm"
"cell_45871","Haematoendothelial progenitors"
"cell_45872","ExE endoderm"
"cell_45873","ExE mesoderm"
"cell_45874","Visceral endoderm"
"cell_45875","ExE endoderm"
"cell_45876","Primitive Streak"
"cell_45877","Gut"
"cell_45878","Epiblast"
"cell_45879","Mixed mesoderm"
"cell_45880","Blood progenitors 1"
"cell_45881","ExE ectoderm"
"cell_45882","Mixed mesoderm"
"cell_45883","ExE ectoderm"
"cell_45884","Rostral neurectoderm"
"cell_45885","Nascent mesoderm"
"cell_45886","Epiblast"
"cell_45887","Rostral neurectoderm"
"cell_45888","Somitic mesoderm"
"cell_45889",NA
"cell_45890","ExE ectoderm"
"cell_45891","Blood progenitors 1"
"cell_45892","Mixed mesoderm"
"cell_45893","Intermediate mesoderm"
"cell_45894","Epiblast"
"cell_45895","Pharyngeal mesoderm"
"cell_45896","ExE endoderm"
"cell_45897","Rostral neurectoderm"
"cell_45898","Mixed mesoderm"
"cell_45899",NA
"cell_45900","Rostral neurectoderm"
"cell_45901","Haematoendothelial progenitors"
"cell_45902","ExE ectoderm"
"cell_45903","ExE ectoderm"
"cell_45904","Primitive Streak"
"cell_45905",NA
"cell_45906",NA
"cell_45907","ExE ectoderm"
"cell_45908","Rostral neurectoderm"
"cell_45909","Epiblast"
"cell_45910","Caudal epiblast"
"cell_45911","Mesenchyme"
"cell_45912","ExE ectoderm"
"cell_45913","Epiblast"
"cell_45914","Mesenchyme"
"cell_45915",NA
"cell_45916","PGC"
"cell_45917",NA
"cell_45918","Intermediate mesoderm"
"cell_45919","Mesenchyme"
"cell_45920","ExE endoderm"
"cell_45921","ExE endoderm"
"cell_45922","Epiblast"
"cell_45923","Mixed mesoderm"
"cell_45924",NA
"cell_45925","Intermediate mesoderm"
"cell_45926","Intermediate mesoderm"
"cell_45927",NA
"cell_45928","Pharyngeal mesoderm"
"cell_45929","Epiblast"
"cell_45930","ExE endoderm"
"cell_45931","Haematoendothelial progenitors"
"cell_45932","ExE endoderm"
"cell_45933","ExE ectoderm"
"cell_45934",NA
"cell_45935","Rostral neurectoderm"
"cell_45936","Haematoendothelial progenitors"
"cell_45937",NA
"cell_45938","Primitive Streak"
"cell_45939",NA
"cell_45940",NA
"cell_45941",NA
"cell_45942","Epiblast"
"cell_45943","Nascent mesoderm"
"cell_45944","Mixed mesoderm"
"cell_45945","Rostral neurectoderm"
"cell_45946","Mixed mesoderm"
"cell_45947","ExE endoderm"
"cell_45948","Intermediate mesoderm"
"cell_45949","Epiblast"
"cell_45950","ExE ectoderm"
"cell_45951",NA
"cell_45952",NA
"cell_45953","Mixed mesoderm"
"cell_45954","Nascent mesoderm"
"cell_45955","Rostral neurectoderm"
"cell_45956","Rostral neurectoderm"
"cell_45957","Epiblast"
"cell_45958","Rostral neurectoderm"
"cell_45959","ExE ectoderm"
"cell_45960","ExE ectoderm"
"cell_45961","Primitive Streak"
"cell_45962","Primitive Streak"
"cell_45963","Mesenchyme"
"cell_45964","ExE ectoderm"
"cell_45965","ExE ectoderm"
"cell_45966","Rostral neurectoderm"
"cell_45967","ExE ectoderm"
"cell_45968","ExE ectoderm"
"cell_45969","ExE mesoderm"
"cell_45970","Rostral neurectoderm"
"cell_45971","ExE endoderm"
"cell_45972","Epiblast"
"cell_45973","Primitive Streak"
"cell_45974","ExE endoderm"
"cell_45975","ExE endoderm"
"cell_45976","ExE endoderm"
"cell_45977","ExE ectoderm"
"cell_45978",NA
"cell_45979","Pharyngeal mesoderm"
"cell_45980","ExE endoderm"
"cell_45981","Primitive Streak"
"cell_45982","ExE ectoderm"
"cell_45983","Mesenchyme"
"cell_45984",NA
"cell_45985","Rostral neurectoderm"
"cell_45986","Notochord"
"cell_45987","ExE ectoderm"
"cell_45988","Nascent mesoderm"
"cell_45989","Epiblast"
"cell_45990","ExE endoderm"
"cell_45991","Notochord"
"cell_45992","Epiblast"
"cell_45993",NA
"cell_45994","Mesenchyme"
"cell_45995","Mesenchyme"
"cell_45996","ExE ectoderm"
"cell_45997",NA
"cell_45998","Epiblast"
"cell_45999","Epiblast"
"cell_46000","ExE ectoderm"
"cell_46001","Rostral neurectoderm"
"cell_46002","Epiblast"
"cell_46003","ExE endoderm"
"cell_46004","ExE endoderm"
"cell_46005","ExE ectoderm"
"cell_46006","Notochord"
"cell_46007","Paraxial mesoderm"
"cell_46008","Visceral endoderm"
"cell_46009","Caudal neurectoderm"
"cell_46010",NA
"cell_46011","ExE ectoderm"
"cell_46012","Primitive Streak"
"cell_46013","Nascent mesoderm"
"cell_46014","ExE mesoderm"
"cell_46015","ExE mesoderm"
"cell_46016",NA
"cell_46017","ExE endoderm"
"cell_46018","Caudal Mesoderm"
"cell_46019","Caudal epiblast"
"cell_46020","Mixed mesoderm"
"cell_46021","Mesenchyme"
"cell_46022","ExE ectoderm"
"cell_46023","Blood progenitors 2"
"cell_46024",NA
"cell_46025","Rostral neurectoderm"
"cell_46026","Gut"
"cell_46027","ExE ectoderm"
"cell_46028","ExE endoderm"
"cell_46029","Rostral neurectoderm"
"cell_46030","ExE ectoderm"
"cell_46031","ExE endoderm"
"cell_46032",NA
"cell_46033","ExE endoderm"
"cell_46034","ExE endoderm"
"cell_46035","ExE ectoderm"
"cell_46036","Rostral neurectoderm"
"cell_46037","Mixed mesoderm"
"cell_46038","Def. endoderm"
"cell_46039","Blood progenitors 1"
"cell_46040","ExE ectoderm"
"cell_46041","ExE endoderm"
"cell_46042","Rostral neurectoderm"
"cell_46043","ExE endoderm"
"cell_46044","Epiblast"
"cell_46045","ExE endoderm"
"cell_46046","Mesenchyme"
"cell_46047","Blood progenitors 1"
"cell_46048",NA
"cell_46049","Paraxial mesoderm"
"cell_46050","Mesenchyme"
"cell_46051","Mesenchyme"
"cell_46052","ExE endoderm"
"cell_46053","Nascent mesoderm"
"cell_46054","Rostral neurectoderm"
"cell_46055","PGC"
"cell_46056","Mesenchyme"
"cell_46057",NA
"cell_46058","Epiblast"
"cell_46059","Nascent mesoderm"
"cell_46060","ExE ectoderm"
"cell_46061","Gut"
"cell_46062","Epiblast"
"cell_46063","Somitic mesoderm"
"cell_46064","Blood progenitors 1"
"cell_46065","Mixed mesoderm"
"cell_46066","ExE endoderm"
"cell_46067","ExE endoderm"
