"","celltype"
"cell_43673","Rostral neurectoderm"
"cell_43674",NA
"cell_43675","Surface ectoderm"
"cell_43676","Rostral neurectoderm"
"cell_43677","Rostral neurectoderm"
"cell_43678","ExE endoderm"
"cell_43679",NA
"cell_43680",NA
"cell_43681","ExE ectoderm"
"cell_43682","Somitic mesoderm"
"cell_43683","Caudal Mesoderm"
"cell_43684","Pharyngeal mesoderm"
"cell_43685","Rostral neurectoderm"
"cell_43686","ExE endoderm"
"cell_43687","Haematoendothelial progenitors"
"cell_43688","ExE endoderm"
"cell_43689","ExE ectoderm"
"cell_43690","Nascent mesoderm"
"cell_43691","ExE endoderm"
"cell_43692","Def. endoderm"
"cell_43693","ExE ectoderm"
"cell_43694","Primitive Streak"
"cell_43695","Somitic mesoderm"
"cell_43696","Paraxial mesoderm"
"cell_43697","ExE endoderm"
"cell_43698","Nascent mesoderm"
"cell_43699","ExE endoderm"
"cell_43700","Rostral neurectoderm"
"cell_43701","Somitic mesoderm"
"cell_43702","Mesenchyme"
"cell_43703",NA
"cell_43704","Visceral endoderm"
"cell_43705","Rostral neurectoderm"
"cell_43706","Rostral neurectoderm"
"cell_43707","ExE ectoderm"
"cell_43708","Epiblast"
"cell_43709",NA
"cell_43710","Mixed mesoderm"
"cell_43711","Caudal epiblast"
"cell_43712","Rostral neurectoderm"
"cell_43713","Rostral neurectoderm"
"cell_43714","ExE ectoderm"
"cell_43715","Epiblast"
"cell_43716","ExE endoderm"
"cell_43717",NA
"cell_43718",NA
"cell_43719","Paraxial mesoderm"
"cell_43720","Visceral endoderm"
"cell_43721","Rostral neurectoderm"
"cell_43722","Pharyngeal mesoderm"
"cell_43723","ExE mesoderm"
"cell_43724","Rostral neurectoderm"
"cell_43725","Blood progenitors 2"
"cell_43726","Caudal epiblast"
"cell_43727","Epiblast"
"cell_43728","Rostral neurectoderm"
"cell_43729","Mixed mesoderm"
"cell_43730","Mesenchyme"
"cell_43731","Rostral neurectoderm"
"cell_43732","Mesenchyme"
"cell_43733","ExE ectoderm"
"cell_43734","Gut"
"cell_43735","ExE ectoderm"
"cell_43736","Pharyngeal mesoderm"
"cell_43737","Primitive Streak"
"cell_43738","ExE ectoderm"
"cell_43739","Epiblast"
"cell_43740","Caudal epiblast"
"cell_43741","Intermediate mesoderm"
"cell_43742","ExE endoderm"
"cell_43743","Caudal neurectoderm"
"cell_43744","ExE endoderm"
"cell_43745","Visceral endoderm"
"cell_43746",NA
"cell_43747",NA
"cell_43748","Primitive Streak"
"cell_43749","ExE endoderm"
"cell_43750","Epiblast"
"cell_43751","Primitive Streak"
"cell_43752","Rostral neurectoderm"
"cell_43753","ExE ectoderm"
"cell_43754","Epiblast"
"cell_43755","Mesenchyme"
"cell_43756","Rostral neurectoderm"
"cell_43757","Primitive Streak"
"cell_43758","Nascent mesoderm"
"cell_43759",NA
"cell_43760",NA
"cell_43761","Paraxial mesoderm"
"cell_43762","ExE ectoderm"
"cell_43763",NA
"cell_43764","ExE endoderm"
"cell_43765",NA
"cell_43766",NA
"cell_43767","Haematoendothelial progenitors"
"cell_43768","ExE ectoderm"
"cell_43769","ExE ectoderm"
"cell_43770","Intermediate mesoderm"
"cell_43771","ExE ectoderm"
"cell_43772","Epiblast"
"cell_43773","Epiblast"
"cell_43774","Caudal neurectoderm"
"cell_43775",NA
"cell_43776","ExE ectoderm"
"cell_43777","Caudal epiblast"
"cell_43778","Blood progenitors 2"
"cell_43779",NA
"cell_43780","Primitive Streak"
"cell_43781","Intermediate mesoderm"
"cell_43782","Nascent mesoderm"
"cell_43783","ExE endoderm"
"cell_43784","ExE endoderm"
"cell_43785","ExE ectoderm"
"cell_43786","Rostral neurectoderm"
"cell_43787","Haematoendothelial progenitors"
"cell_43788","ExE endoderm"
"cell_43789","Epiblast"
"cell_43790",NA
"cell_43791","Nascent mesoderm"
"cell_43792","ExE ectoderm"
"cell_43793","Primitive Streak"
"cell_43794","Mixed mesoderm"
"cell_43795","Rostral neurectoderm"
"cell_43796","ExE ectoderm"
"cell_43797","Rostral neurectoderm"
"cell_43798","Nascent mesoderm"
"cell_43799","ExE endoderm"
"cell_43800",NA
"cell_43801","Mesenchyme"
"cell_43802","ExE ectoderm"
"cell_43803","ExE endoderm"
"cell_43804","Anterior Primitive Streak"
"cell_43805","Rostral neurectoderm"
"cell_43806","ExE ectoderm"
"cell_43807","Haematoendothelial progenitors"
"cell_43808","Mesenchyme"
"cell_43809","Visceral endoderm"
"cell_43810",NA
"cell_43811","ExE ectoderm"
"cell_43812","Epiblast"
"cell_43813","Caudal epiblast"
"cell_43814","ExE endoderm"
"cell_43815",NA
"cell_43816","Intermediate mesoderm"
"cell_43817",NA
"cell_43818","ExE mesoderm"
"cell_43819","ExE ectoderm"
"cell_43820","ExE ectoderm"
"cell_43821","ExE endoderm"
"cell_43822","Epiblast"
"cell_43823","Nascent mesoderm"
"cell_43824","Mixed mesoderm"
"cell_43825","Mixed mesoderm"
"cell_43826","ExE ectoderm"
"cell_43827","ExE ectoderm"
"cell_43828",NA
"cell_43829","ExE endoderm"
"cell_43830","Blood progenitors 1"
"cell_43831","ExE endoderm"
"cell_43832","Blood progenitors 2"
"cell_43833","ExE ectoderm"
"cell_43834",NA
