"","ENSEMBL","SYMBOL"
"ENSMUSG00000001062","ENSMUSG00000001062","Vps9d1"
"ENSMUSG00000001065","ENSMUSG00000001065","Zfp276"
"ENSMUSG00000032815","ENSMUSG00000032815","Fanca"
"ENSMUSG00000010154","ENSMUSG00000010154","Spire2"
"ENSMUSG00000001472","ENSMUSG00000001472","Tcf25"
"ENSMUSG00000074037","ENSMUSG00000074037","Mc1r"
"ENSMUSG00000062380","ENSMUSG00000062380","Tubb3"
"ENSMUSG00000001482","ENSMUSG00000001482","Def8"
"ENSMUSG00000031967","ENSMUSG00000031967","Afg3l1"
"ENSMUSG00000031970","ENSMUSG00000031970","Dbndd1"
"ENSMUSG00000040220","ENSMUSG00000040220","Gas8"
"ENSMUSG00000039960","ENSMUSG00000039960","Rhou"
"ENSMUSG00000110467","ENSMUSG00000110467","Gm45781"
"ENSMUSG00000110599","ENSMUSG00000110599","6030466F02Rik"
"ENSMUSG00000097203","ENSMUSG00000097203","4732419C18Rik"
"ENSMUSG00000110684","ENSMUSG00000110684","Gm45866"
"ENSMUSG00000019478","ENSMUSG00000019478","Rab4a"
"ENSMUSG00000085030","ENSMUSG00000085030","2810455O05Rik"
"ENSMUSG00000031971","ENSMUSG00000031971","Ccsap"
"ENSMUSG00000031972","ENSMUSG00000031972","Acta1"
"ENSMUSG00000110547","ENSMUSG00000110547","Gm45891"
"ENSMUSG00000039509","ENSMUSG00000039509","Nup133"
"ENSMUSG00000110615","ENSMUSG00000110615","Gm45890"
"ENSMUSG00000031974","ENSMUSG00000031974","Abcb10"
"ENSMUSG00000038697","ENSMUSG00000038697","Taf5l"
"ENSMUSG00000031976","ENSMUSG00000031976","Urb2"
"ENSMUSG00000110704","ENSMUSG00000110704","Gm45732"
"ENSMUSG00000089704","ENSMUSG00000089704","Galnt2"
"ENSMUSG00000089745","ENSMUSG00000089745","1810008B01Rik"
"ENSMUSG00000089820","ENSMUSG00000089820","Gm15775"
"ENSMUSG00000050751","ENSMUSG00000050751","Pgbd5"
"ENSMUSG00000031979","ENSMUSG00000031979","Cog2"
"ENSMUSG00000031980","ENSMUSG00000031980","Agt"
"ENSMUSG00000031981","ENSMUSG00000031981","Capn9"
"ENSMUSG00000031983","ENSMUSG00000031983","2310022B05Rik"
"ENSMUSG00000037300","ENSMUSG00000037300","Ttc13"
"ENSMUSG00000031982","ENSMUSG00000031982","Arv1"
"ENSMUSG00000043068","ENSMUSG00000043068","Fam89a"
"ENSMUSG00000036913","ENSMUSG00000036913","Trim67"
"ENSMUSG00000031984","ENSMUSG00000031984","2810004N23Rik"
"ENSMUSG00000031985","ENSMUSG00000031985","Gnpat"
"ENSMUSG00000074030","ENSMUSG00000074030","Exoc8"
"ENSMUSG00000031986","ENSMUSG00000031986","Sprtn"
"ENSMUSG00000110706","ENSMUSG00000110706","Gm45709"
"ENSMUSG00000031987","ENSMUSG00000031987","Egln1"
"ENSMUSG00000056820","ENSMUSG00000056820","Tsnax"
"ENSMUSG00000043051","ENSMUSG00000043051","Disc1"
"ENSMUSG00000086694","ENSMUSG00000086694","Gm16237"
"ENSMUSG00000001995","ENSMUSG00000001995","Sipa1l2"
"ENSMUSG00000110629","ENSMUSG00000110629","4930567H12Rik"
"ENSMUSG00000050930","ENSMUSG00000050930","Map10"
"ENSMUSG00000031851","ENSMUSG00000031851","Ntpcr"
